Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1u,
"C2, C3",0805,2,22p,
"C4, C5, C6, C7",0805,4,0.1u,
C8,0805,1,10u,
D1,SOT-143,1,PRTR5V0U2X,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D8, D9",D_SOD-123,68,D,
F1,1206,1,500m,
J1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
"R1, R2",0805,2,10k,
"R3, R4",0805,2,22,
"R5, R6",0805,2,5.1k,
SW1,SW_SPST_SKQG_WithStem,1,SW_Push_Reset,
SW10,MX-Hotswap-1U,1,8,
SW11,MX-Hotswap-1U,1,9,
SW12,MX-Hotswap-1U,1,0,
SW13,MX-Hotswap-1U,1,-,
SW14,MX-Hotswap-1U,1,=,
SW15,MX-Hotswap-2U,1,Backspace,
SW16,MX-Hotswap-1U,1,Page Up,
SW17,MX-Hotswap-1.5U,1,Tab,
SW18,MX-Hotswap-1U,1,Q,
SW19,MX-Hotswap-1U,1,W,
SW2,MX-Hotswap-1U,1,~,
SW20,MX-Hotswap-1U,1,E,
SW21,MX-Hotswap-1U,1,R,
SW22,MX-Hotswap-1U,1,T,
SW23,MX-Hotswap-1U,1,Y,
SW24,MX-Hotswap-1U,1,U,
SW25,MX-Hotswap-1U,1,I,
SW26,MX-Hotswap-1U,1,O,
SW27,MX-Hotswap-1U,1,P,
SW28,MX-Hotswap-1U,1,[,
SW29,MX-Hotswap-1U,1,],
SW3,MX-Hotswap-1U,1,1,
SW30,MX-Hotswap-1.5U,1,\,
SW31,MX-Hotswap-1U,1,Page Dn,
SW32,MX-Hotswap-1.75U,1,Caps Lock,
SW33,MX-Hotswap-1U,1,A,
SW34,MX-Hotswap-1U,1,S,
SW35,MX-Hotswap-1U,1,D,
SW36,MX-Hotswap-1U,1,F,
SW37,MX-Hotswap-1U,1,G,
SW38,MX-Hotswap-1U,1,H,
SW39,MX-Hotswap-1U,1,J,
SW4,MX-Hotswap-1U,1,2,
SW40,MX-Hotswap-1U,1,K,
SW41,MX-Hotswap-1U,1,L,
SW42,MX-Hotswap-1U,1,;,
SW43,MX-Hotswap-1U,1,',
SW44,MX-Hotswap-2.25U,1,Enter,
SW46,MX-Hotswap-1U,1,Insert,
SW47,MX-Hotswap-2.25U,1,Shift Left,
SW48,MX-Hotswap-1U,1,Z,
SW49,MX-Hotswap-1U,1,X,
SW5,MX-Hotswap-1U,1,3,
SW50,MX-Hotswap-1U,1,C,
SW51,MX-Hotswap-1U,1,V,
SW52,MX-Hotswap-1U,1,B,
SW53,MX-Hotswap-1U,1,N,
SW54,MX-Hotswap-1U,1,M,
SW55,MX-Hotswap-1U,1,",",
SW56,MX-Hotswap-1U,1,.,
SW57,MX-Hotswap-1U,1,/,
SW58,MX-Hotswap-1.75U,1,Shift Right,
SW6,MX-Hotswap-1U,1,4,
SW60,MX-Hotswap-1U,1,Up,
SW61,MX-Hotswap-1U,1,Delete,
SW62,MX-Hotswap-1.25U,1,Ctrl,
SW63,MX-Hotswap-1.25U,1,Win,
SW64,MX-Hotswap-1.25U,1,Alt,
SW65,MX-Hotswap-6.25U,1,Space,
SW66,MX-Hotswap-1U,1,Alt,
SW67,MX-Hotswap-1U,1,Fn,
SW68,MX-Hotswap-1U,1,Left,
SW69,MX-Hotswap-1U,1,Down,
SW7,MX-Hotswap-1U,1,5,
SW70,MX-Hotswap-1U,1,Right,
SW71,MX-Hotswap-1U,1,Ctrl,
SW8,MX-Hotswap-1U,1,6,
SW9,MX-Hotswap-1U,1,7,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
USB1,HRO-TYPE-C-31-M-12-HandSoldering,1,HRO-TYPE-C-31-M-12,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24_Small,
