Designator,Mid X,Mid Y,Rotation,Layer
C1,227.3475,-166.44875,0.0,bottom
C2,242.9975,-176.94875,180.0,bottom
C3,243.05375,-173.94875,180.0,bottom
C4,235.9975,-168.94875,270.0,bottom
C5,215.2225,-173.78,90.0,bottom
C6,215.2225,-180.13,90.0,bottom
C7,231.0975,-183.305,180.0,bottom
C8,216.01625,-166.63625,0.0,bottom
D1,202.9475,-79.14875,180.0,bottom
D10,222.36625,-101.54875,90.0,bottom
D11,241.41625,-101.54875,90.0,bottom
D12,260.46625,-101.54875,90.0,bottom
D13,279.51625,-101.54875,90.0,bottom
D14,298.56625,-101.54875,90.0,bottom
D15,327.14125,-101.54875,90.0,bottom
D16,355.71625,-101.54875,90.0,bottom
D17,74.72875,-120.59875,90.0,bottom
D18,98.54125,-120.59875,90.0,bottom
D19,117.59125,-120.59875,90.0,bottom
D2,69.96625,-101.54875,90.0,bottom
D20,136.64125,-120.59875,90.0,bottom
D21,155.69125,-120.59875,90.0,bottom
D22,174.74125,-120.59875,90.0,bottom
D23,193.79125,-120.59875,90.0,bottom
D24,212.84125,-120.59875,90.0,bottom
D25,231.89125,-120.59875,90.0,bottom
D26,250.94125,-120.59875,90.0,bottom
D27,269.99125,-120.59875,90.0,bottom
D28,289.04125,-120.59875,90.0,bottom
D29,308.09125,-120.59875,90.0,bottom
D3,89.01625,-101.54875,90.0,bottom
D30,331.90375,-120.59875,90.0,bottom
D31,355.71625,-120.59875,90.0,bottom
D32,77.11,-139.64875,90.0,bottom
D33,103.30375,-139.64875,90.0,bottom
D34,122.35375,-139.64875,90.0,bottom
D35,141.40375,-139.64875,90.0,bottom
D36,160.45375,-139.64875,90.0,bottom
D37,179.50375,-139.64875,90.0,bottom
D38,198.55375,-139.64875,90.0,bottom
D39,217.60375,-139.64875,90.0,bottom
D4,108.06625,-101.54875,90.0,bottom
D40,236.65375,-139.64875,90.0,bottom
D41,255.70375,-139.64875,90.0,bottom
D42,274.75375,-139.64875,90.0,bottom
D43,293.80375,-139.64875,90.0,bottom
D44,324.76,-139.64875,90.0,bottom
D46,355.71625,-139.64875,90.0,bottom
D47,81.8725,-158.69875,90.0,bottom
D48,112.82875,-158.69875,90.0,bottom
D49,131.87875,-158.69875,90.0,bottom
D5,127.11625,-101.54875,90.0,bottom
D50,150.92875,-158.69875,90.0,bottom
D51,169.97875,-158.69875,90.0,bottom
D52,189.02875,-158.69875,90.0,bottom
D53,208.07875,-158.69875,90.0,bottom
D54,227.12875,-158.69875,90.0,bottom
D55,246.17875,-158.69875,90.0,bottom
D56,265.22875,-158.69875,90.0,bottom
D57,284.27875,-158.69875,90.0,bottom
D58,310.4725,-158.69875,90.0,bottom
D6,146.16625,-101.54875,90.0,bottom
D60,336.66625,-158.69875,90.0,bottom
D61,355.71625,-158.69875,90.0,bottom
D62,72.3475,-177.74875,90.0,bottom
D63,115.21,-177.74875,90.0,bottom
D64,139.0225,-177.74875,90.0,bottom
D65,210.46,-177.74875,90.0,bottom
D66,279.51625,-177.74875,90.0,bottom
D67,93.77875,-177.74875,90.0,bottom
D68,317.61625,-177.74875,90.0,bottom
D69,336.66625,-177.74875,90.0,bottom
D7,165.21625,-101.54875,90.0,bottom
D70,355.71625,-177.74875,90.0,bottom
D71,298.56625,-177.74875,90.0,bottom
D8,184.26625,-101.54875,90.0,bottom
D9,203.31625,-101.54875,90.0,bottom
F1,197.8475,-82.94875,270.0,bottom
H1,48.0,-80.0,0.0,top
H2,48.0,-200.0,0.0,top
H3,160.0,-200.0,0.0,top
H4,253.0,-200.0,0.0,top
H5,365.0,-200.0,0.0,top
H6,365.0,-80.0,0.0,top
H7,253.0,-80.0,0.0,top
H8,160.0,-80.0,0.0,top
J1,191.415,-173.78,0.0,bottom
R1,219.19125,-184.09875,0.0,bottom
R2,184.26625,-180.92375,0.0,bottom
R3,221.5725,-163.46125,270.0,bottom
R4,223.95375,-163.46125,270.0,bottom
R5,197.8475,-75.94875,0.0,bottom
R6,207.8475,-75.94875,180.0,bottom
SW1,180.2975,-174.57375,0.0,bottom
SW10,216.81,-97.58,0.0,bottom
SW11,235.86,-97.58,0.0,bottom
SW12,254.91,-97.58,0.0,bottom
SW13,273.96,-97.58,0.0,bottom
SW14,293.01,-97.58,0.0,bottom
SW15,321.585,-97.58,0.0,bottom
SW16,350.16,-97.58,0.0,bottom
SW17,69.1725,-116.63,0.0,bottom
SW18,92.985,-116.63,0.0,bottom
SW19,112.035,-116.63,0.0,bottom
SW2,64.41,-97.58,0.0,bottom
SW20,131.085,-116.63,0.0,bottom
SW21,150.135,-116.63,0.0,bottom
SW22,169.185,-116.63,0.0,bottom
SW23,188.235,-116.63,0.0,bottom
SW24,207.285,-116.63,0.0,bottom
SW25,226.335,-116.63,0.0,bottom
SW26,245.385,-116.63,0.0,bottom
SW27,264.435,-116.63,0.0,bottom
SW28,283.485,-116.63,0.0,bottom
SW29,302.535,-116.63,0.0,bottom
SW3,83.46,-97.58,0.0,bottom
SW30,326.3475,-116.63,0.0,bottom
SW31,350.16,-116.63,0.0,bottom
SW32,71.55375,-135.68,0.0,bottom
SW33,97.7475,-135.68,0.0,bottom
SW34,116.7975,-135.68,0.0,bottom
SW35,135.8475,-135.68,0.0,bottom
SW36,154.8975,-135.68,0.0,bottom
SW37,173.9475,-135.68,0.0,bottom
SW38,192.9975,-135.68,0.0,bottom
SW39,212.0475,-135.68,0.0,bottom
SW4,102.51,-97.58,0.0,bottom
SW40,231.0975,-135.68,0.0,bottom
SW41,250.1475,-135.68,0.0,bottom
SW42,269.1975,-135.68,0.0,bottom
SW43,288.2475,-135.68,0.0,bottom
SW44,319.20375,-135.68,0.0,bottom
SW46,350.16,-135.68,0.0,bottom
SW47,76.31625,-154.73,0.0,bottom
SW48,107.2725,-154.73,0.0,bottom
SW49,126.3225,-154.73,0.0,bottom
SW5,121.56,-97.58,0.0,bottom
SW50,145.3725,-154.73,0.0,bottom
SW51,164.4225,-154.73,0.0,bottom
SW52,183.4725,-154.73,0.0,bottom
SW53,202.5225,-154.73,0.0,bottom
SW54,221.5725,-154.73,0.0,bottom
SW55,240.6225,-154.73,0.0,bottom
SW56,259.6725,-154.73,0.0,bottom
SW57,278.7225,-154.73,0.0,bottom
SW58,304.91625,-154.73,0.0,bottom
SW6,140.61,-97.58,0.0,bottom
SW60,331.11,-154.73,0.0,bottom
SW61,350.16,-154.73,0.0,bottom
SW62,66.79125,-173.78,0.0,bottom
SW63,109.65375,-173.78,0.0,bottom
SW64,133.46625,-173.78,0.0,bottom
SW65,204.90375,-173.78,0.0,bottom
SW66,273.96,-173.78,0.0,bottom
SW67,88.2225,-173.78,0.0,bottom
SW68,312.06,-173.78,0.0,bottom
SW69,331.11,-173.78,0.0,bottom
SW7,159.66,-97.58,0.0,bottom
SW70,350.16,-173.78,0.0,bottom
SW71,293.01,-173.78,0.0,bottom
SW8,178.71,-97.58,0.0,bottom
SW9,197.76,-97.58,0.0,bottom
U1,223.95375,-174.57375,180.0,bottom
USB1,202.8475,-63.62625,180.0,bottom
Y1,237.4975,-175.3675,90.0,bottom
